roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-5630,female,B,some high school,1,0,53,84,67,90,294,B
std-5631,female,C,high school,1,0,49,63,67,58,237,C
std-5632,female,A,high school,1,0,70,93,75,60,298,B
std-5633,female,C,associate's degree,1,1,35,50,100,96,281,B
std-5634,female,D,bachelor's degree,1,1,58,56,88,50,252,B
std-5635,female,D,some high school,1,0,48,45,74,46,213,C
std-5636,female,C,bachelor's degree,1,1,75,85,81,98,339,A
std-5637,female,B,some college,1,1,74,78,93,90,335,A
std-5638,female,D,bachelor's degree,1,1,50,37,93,82,262,B
std-5639,female,A,some college,1,0,38,55,62,70,225,C
std-5640,female,D,some college,0,0,86,44,58,62,250,B
std-5641,female,B,bachelor's degree,1,1,78,41,56,87,262,B
std-5642,female,C,some college,1,1,93,79,61,62,295,B
std-5643,female,B,associate's degree,0,0,61,88,87,71,307,B
std-5644,female,B,some high school,0,0,63,96,87,46,292,B
std-5645,female,D,high school,1,1,48,63,57,54,222,C
std-5646,female,D,some college,1,0,90,94,50,80,314,B
std-5647,female,A,some high school,1,1,71,84,73,75,303,B
std-5648,female,C,associate's degree,0,0,81,50,100,63,294,B
std-5649,female,C,some college,0,0,84,66,84,81,315,B
std-5650,female,D,associate's degree,1,1,50,74,64,52,240,C
std-5651,female,B,some college,1,0,57,45,47,74,223,C
std-5652,female,B,some college,0,0,79,44,69,100,292,B
std-5653,female,E,some high school,1,0,92,72,76,52,292,B
std-5654,female,D,some high school,1,0,100,56,86,48,290,B
std-5655,female,E,bachelor's degree,0,0,72,78,42,58,250,B
std-5656,female,D,bachelor's degree,1,0,48,71,81,63,263,B
std-5657,female,C,some college,1,0,87,58,67,79,291,B
std-5658,female,D,some college,1,0,62,80,56,67,265,B
std-5659,female,D,high school,0,0,45,78,96,37,256,B
std-5660,female,C,some high school,0,0,27,79,71,42,219,C
std-5661,female,D,high school,1,0,63,71,100,51,285,B
std-5662,female,C,high school,1,0,75,79,77,84,315,B
std-5663,female,C,some college,0,1,62,43,95,95,295,B
std-5664,female,B,associate's degree,1,0,66,89,67,67,289,B
std-5665,female,C,high school,1,1,27,43,78,100,248,C
std-5666,female,C,some college,0,0,32,79,40,53,204,C
std-5667,female,D,some college,0,1,72,62,53,57,244,C
std-5668,female,B,associate's degree,1,1,65,89,52,72,278,B
std-5669,female,D,some college,1,0,28,58,79,78,243,C
std-5670,female,A,associate's degree,0,0,70,65,78,36,249,C
std-5671,female,A,master's degree,0,0,30,81,82,56,249,C
std-5672,female,C,associate's degree,1,0,89,41,61,90,281,B
std-5673,female,E,high school,1,1,77,66,58,83,284,B
std-5674,female,E,some college,0,0,78,77,82,45,282,B
std-5675,female,D,high school,1,0,51,81,67,69,268,B
std-5676,female,D,some high school,0,1,27,77,74,61,239,C
std-5677,female,C,high school,1,1,80,44,73,79,276,B
std-5678,female,E,master's degree,1,0,66,46,52,91,255,B
std-5679,female,D,associate's degree,1,0,60,53,100,75,288,B
std-5680,female,C,some college,1,0,79,60,83,100,322,A
std-5681,female,D,bachelor's degree,0,0,62,72,58,44,236,C
std-5682,female,E,associate's degree,1,0,70,80,100,61,311,B
std-5683,female,C,bachelor's degree,0,1,27,100,100,51,278,B
std-5684,female,E,some high school,1,0,78,23,63,74,238,C
std-5685,female,C,high school,0,0,76,58,53,73,260,B
std-5686,female,A,high school,1,0,50,40,74,100,264,B
std-5687,female,D,some college,1,1,63,86,87,69,305,B
std-5688,female,E,some high school,0,0,59,74,61,100,294,B
std-5689,female,C,some high school,1,0,95,68,69,45,277,B
std-5690,female,A,high school,1,0,56,60,89,87,292,B
std-5691,female,C,some college,1,1,37,57,98,67,259,B
std-5692,female,B,high school,1,0,46,76,90,98,310,B
std-5693,female,C,master's degree,0,1,74,84,84,79,321,A
std-5694,female,C,some high school,0,1,65,70,100,89,324,A
std-5695,female,D,bachelor's degree,1,1,77,78,88,83,326,A
std-5696,female,C,some college,0,1,56,90,100,61,307,B
std-5697,female,E,bachelor's degree,0,0,48,59,57,83,247,C
std-5698,female,C,bachelor's degree,0,0,63,64,81,80,288,B
std-5699,female,B,some college,1,0,75,67,78,77,297,B
std-5700,female,B,high school,1,0,72,43,62,38,215,C
std-5701,female,D,some college,1,0,77,86,49,74,286,B
std-5702,female,C,associate's degree,0,1,50,89,91,79,309,B
std-5703,female,C,some college,1,1,57,46,98,70,271,B
std-5704,female,C,some high school,1,1,51,60,79,82,272,B
std-5705,female,A,master's degree,1,0,68,50,65,63,246,C
std-5706,female,E,high school,1,1,76,45,82,87,290,B
std-5707,female,A,associate's degree,1,0,62,95,91,55,303,B
std-5708,female,E,high school,1,0,92,62,83,68,305,B
std-5709,female,E,some high school,1,0,81,81,62,98,322,A
std-5710,female,E,bachelor's degree,0,0,74,63,54,77,268,B
std-5711,female,C,bachelor's degree,1,0,69,90,68,91,318,B
std-5712,female,E,some college,0,0,49,75,51,100,275,B
std-5713,female,C,associate's degree,1,1,27,97,83,66,273,B
std-5714,female,E,some high school,1,1,62,80,70,60,272,B
std-5715,female,B,some college,1,1,70,54,84,58,266,B
std-5716,female,C,associate's degree,1,1,53,67,65,53,238,C
std-5717,female,B,bachelor's degree,1,0,85,39,61,72,257,B
std-5718,female,A,high school,1,0,27,86,94,61,268,B
std-5719,female,D,bachelor's degree,0,1,27,46,80,82,235,C
std-5720,female,D,associate's degree,0,1,47,78,99,66,290,B
std-5721,female,C,bachelor's degree,1,0,62,42,77,94,275,B
std-5722,female,D,some college,1,1,45,83,58,93,279,B
std-5723,female,B,bachelor's degree,0,1,68,68,97,49,282,B
std-5724,female,C,bachelor's degree,1,0,46,90,70,72,278,B
std-5725,female,C,high school,1,1,59,33,58,73,223,C
std-5726,female,D,bachelor's degree,0,0,50,37,75,56,218,C
std-5727,female,C,some college,1,1,74,26,78,85,263,B
std-5728,female,E,some college,0,0,62,95,60,92,309,B
std-5729,female,A,high school,0,1,64,100,67,50,281,B
std-5730,female,A,master's degree,1,0,70,72,96,96,334,A
std-5731,female,A,associate's degree,0,1,59,58,71,87,275,B
std-5732,female,D,some college,1,0,69,99,90,65,323,A
std-5733,female,C,some high school,1,0,76,48,56,71,251,B
std-5734,female,D,associate's degree,0,0,75,38,29,53,195,D
std-5735,female,C,some college,1,1,62,75,45,55,237,C
std-5736,female,A,some high school,1,1,85,89,86,66,326,A
std-5737,female,C,high school,1,0,67,70,85,83,305,B
std-5738,female,C,associate's degree,1,0,76,41,76,58,251,B
std-5739,female,B,some high school,0,0,44,76,75,41,236,C
std-5740,female,C,some college,1,1,45,52,70,71,238,C
std-5741,female,D,some college,1,1,32,59,87,59,237,C
std-5742,female,D,associate's degree,1,0,82,81,61,41,265,B
std-5743,female,C,high school,1,0,61,91,85,52,289,B
std-5744,female,C,some high school,0,0,27,34,60,64,185,D
std-5745,female,C,some college,1,0,31,57,96,89,273,B
std-5746,female,E,some high school,1,1,54,65,76,86,281,B
std-5747,female,C,master's degree,1,1,100,77,71,71,319,B
std-5748,female,C,bachelor's degree,1,1,87,45,33,57,222,C
std-5749,female,B,associate's degree,1,0,78,63,52,39,232,C
std-5750,female,C,high school,1,1,37,53,100,83,273,B
std-5751,female,B,high school,1,0,52,56,87,84,279,B
std-5752,female,E,associate's degree,1,1,58,78,96,51,283,B
std-5753,female,C,some high school,0,1,49,26,63,57,195,D
std-5754,female,E,some high school,1,1,58,74,89,63,284,B
std-5755,female,E,some college,1,0,76,98,96,85,355,A
std-5756,female,B,some college,0,0,35,92,42,77,246,C
std-5757,female,C,some high school,1,1,64,68,80,82,294,B
std-5758,female,B,high school,1,0,70,67,75,98,310,B
std-5759,female,B,some high school,0,0,64,85,81,59,289,B
std-5760,female,D,some college,0,0,84,87,86,72,329,A
std-5762,female,E,high school,1,1,84,93,68,45,290,B
std-5769,female,C,some college,1,1,55,67,100,70,292,B
std-5771,female,A,some high school,0,0,43,92,85,30,250,B
std-5772,female,B,high school,1,0,99,62,100,54,315,B
std-5773,female,E,associate's degree,1,1,52,98,73,58,281,B
std-5774,female,D,bachelor's degree,0,1,38,82,72,72,264,B
std-5775,female,E,associate's degree,0,1,64,82,72,65,283,B
std-5776,female,C,master's degree,1,0,54,52,89,84,279,B
std-5777,female,E,associate's degree,1,0,71,85,93,85,334,A
std-5778,female,B,high school,0,1,68,42,55,50,215,C
std-5779,female,D,high school,0,1,60,79,68,61,268,B
std-5780,female,D,some high school,1,0,40,69,81,77,267,B
std-5781,female,D,high school,1,1,76,46,100,71,293,B
std-5782,female,E,some high school,0,1,86,85,85,70,326,A
std-5783,female,B,associate's degree,1,0,63,88,48,68,267,B
std-5784,female,D,high school,1,0,53,32,88,75,248,C
std-5785,female,C,associate's degree,0,0,72,81,78,81,312,B
std-5786,female,E,high school,0,0,45,77,77,93,292,B
std-5787,female,D,associate's degree,1,0,72,52,85,83,292,B
std-5788,female,D,associate's degree,0,0,69,50,100,99,318,B
std-5789,female,B,bachelor's degree,0,0,58,71,77,67,273,B
std-5790,female,E,some high school,0,0,64,36,95,66,261,B
std-5791,female,C,high school,1,1,27,86,94,56,263,B
std-5792,female,B,some high school,1,1,63,92,82,64,301,B
std-5793,female,E,high school,0,1,35,80,68,55,238,C
std-5794,female,E,associate's degree,0,0,83,65,100,79,327,A
std-5795,female,A,bachelor's degree,0,0,66,74,59,58,257,B
std-5796,female,D,some college,1,0,50,83,59,38,230,C
std-5797,female,A,associate's degree,0,0,61,88,92,65,306,B
std-5798,female,D,high school,1,0,63,43,64,46,216,C
std-5799,female,B,bachelor's degree,0,0,33,55,100,53,241,C
std-5800,female,B,bachelor's degree,1,1,71,100,38,59,268,B
std-5801,female,E,high school,0,1,78,47,88,85,298,B
std-5802,female,A,associate's degree,1,1,89,64,90,82,325,A
std-5803,female,D,associate's degree,1,0,78,100,58,87,323,A
std-5804,female,D,high school,1,0,42,29,35,78,184,D
std-5805,female,B,some college,0,0,60,65,72,41,238,C
std-5806,female,B,some high school,1,1,31,62,61,62,216,C
std-5807,female,B,high school,1,1,78,43,68,84,273,B
std-5808,female,E,some high school,1,1,69,52,83,44,248,C
std-5809,female,D,high school,1,1,89,81,45,61,276,B
std-5810,female,C,associate's degree,1,0,93,42,71,90,296,B
std-5811,female,E,some college,1,1,27,61,75,87,250,B
std-5812,female,C,high school,1,0,47,72,60,62,241,C
std-5813,female,B,some college,1,0,27,62,100,47,236,C
std-5814,female,D,bachelor's degree,1,0,71,35,79,54,239,C
std-5815,female,C,associate's degree,1,0,87,84,82,37,290,B
std-5816,female,D,high school,1,0,39,82,67,36,224,C
std-5817,female,C,some high school,1,1,28,51,65,90,234,C
std-5818,female,D,high school,0,0,49,65,43,86,243,C
std-5819,female,C,bachelor's degree,1,1,57,60,72,67,256,B
std-5820,female,E,some high school,1,0,89,64,89,46,288,B
std-5821,female,D,associate's degree,0,0,59,61,52,65,237,C
std-5822,female,D,some college,1,0,81,86,66,46,279,B
std-5823,female,D,some college,1,1,78,54,38,49,219,C
std-5824,female,D,some high school,1,1,70,93,71,81,315,B
std-5825,female,C,bachelor's degree,1,0,94,62,73,65,294,B
std-5826,female,D,high school,1,0,63,54,92,59,268,B
std-5827,female,D,some college,1,0,27,100,73,70,270,B
std-5828,female,D,bachelor's degree,0,1,90,51,100,70,311,B
std-5829,female,C,bachelor's degree,0,1,87,59,92,67,305,B
std-5830,female,C,bachelor's degree,1,1,48,88,61,72,269,B
std-5831,female,B,bachelor's degree,1,0,87,64,56,76,283,B
std-5832,female,C,high school,1,0,51,45,53,68,217,C
std-5833,female,B,some college,0,1,47,65,66,56,234,C
std-5834,female,D,high school,1,0,47,62,75,48,232,C
std-5835,female,B,bachelor's degree,1,0,95,84,88,50,317,B
std-5836,female,B,associate's degree,1,1,67,100,69,91,327,A
std-5837,female,D,some college,1,0,61,61,72,71,265,B
std-5838,female,B,some college,0,1,80,79,66,71,296,B
std-5839,female,B,some high school,1,0,81,58,69,100,308,B
std-5840,female,A,high school,0,1,27,99,32,77,235,C
std-5841,female,A,associate's degree,0,1,64,61,71,52,248,C
std-5842,female,D,some high school,1,0,63,78,85,87,313,B
std-5843,female,E,associate's degree,1,0,40,52,83,31,206,C
std-5844,female,B,bachelor's degree,0,1,37,76,52,94,259,B
std-5845,female,C,associate's degree,0,1,27,63,86,50,226,C
std-5846,female,C,bachelor's degree,0,0,43,50,90,65,248,C
std-5847,female,C,bachelor's degree,1,0,56,88,67,78,289,B
std-5848,female,C,some high school,1,0,76,74,100,69,319,B
std-5849,female,D,some college,0,0,66,56,100,75,297,B
std-5850,female,C,some high school,0,0,57,68,79,81,285,B
std-5851,female,B,high school,1,1,60,56,64,53,233,C
std-5852,female,C,bachelor's degree,1,0,72,72,100,50,294,B
std-5853,female,C,some college,1,0,71,86,93,43,293,B
std-5854,female,C,high school,1,0,45,75,100,99,319,B
std-5855,female,C,bachelor's degree,0,0,34,81,56,46,217,C
std-5856,female,C,some college,0,1,30,68,100,59,257,B
std-5857,female,D,high school,0,0,60,68,72,60,260,B
std-5858,female,A,some high school,1,1,49,43,74,73,239,C
std-5859,female,C,some high school,0,1,43,73,100,79,295,B
std-5860,female,D,bachelor's degree,1,1,61,55,57,82,255,B
std-5861,female,C,master's degree,0,1,58,100,84,52,294,B
std-5862,female,E,some high school,1,1,63,51,80,100,294,B
std-5863,female,B,master's degree,1,0,70,68,84,68,290,B
std-5864,female,E,some college,0,0,31,77,100,86,294,B
std-5865,female,D,associate's degree,0,0,75,58,100,58,291,B
std-5866,female,C,high school,0,0,40,57,70,72,239,C
std-5867,female,A,associate's degree,1,1,35,48,96,46,225,C
std-5868,female,C,some high school,1,0,79,63,86,66,294,B
std-5869,female,B,high school,1,1,100,80,53,71,304,B
std-5870,female,A,master's degree,0,1,52,88,52,36,228,C
std-5871,female,E,bachelor's degree,1,0,53,80,68,55,256,B
std-5872,female,C,some college,0,1,96,26,82,69,273,B
std-5873,female,C,some high school,1,1,59,64,62,83,268,B
std-5874,female,B,associate's degree,0,0,67,72,95,55,289,B
std-5875,female,C,high school,1,1,65,100,70,65,300,B
std-5876,female,C,bachelor's degree,1,0,68,69,98,61,296,B
std-5877,female,D,some high school,0,1,45,57,100,40,242,C
std-5878,female,E,high school,0,0,57,61,98,60,276,B
std-5879,female,C,bachelor's degree,0,1,59,83,100,84,326,A
std-5880,female,A,master's degree,1,0,52,95,76,83,306,B
std-5881,female,C,some high school,1,1,81,96,100,60,337,A
std-5882,female,A,master's degree,1,1,43,52,70,97,262,B
std-5883,female,D,bachelor's degree,0,1,44,60,100,96,300,B
std-5884,female,A,some college,0,1,63,66,93,91,313,B
std-5885,female,D,high school,0,0,64,98,65,79,306,B
std-5886,female,C,high school,0,0,70,100,82,57,309,B
std-5887,female,C,associate's degree,0,0,76,100,44,94,314,B
std-5888,female,C,bachelor's degree,1,0,70,100,67,52,289,B
std-5889,female,B,bachelor's degree,0,0,63,60,89,69,281,B
std-5890,female,B,associate's degree,1,0,51,85,61,77,274,B
std-5891,female,C,high school,1,0,45,55,86,74,260,B
std-5892,female,D,associate's degree,1,1,28,100,61,100,289,B
std-5893,female,A,some high school,0,0,36,49,66,84,235,C
std-5894,female,C,some high school,1,1,56,98,83,82,319,B
std-5895,female,D,associate's degree,1,1,54,35,65,71,225,C
std-5896,female,E,some college,1,1,83,94,97,69,343,A
std-5897,female,C,some high school,1,1,59,64,75,75,273,B
std-5898,female,D,high school,0,1,37,89,100,50,276,B
std-5899,female,C,some high school,1,1,30,99,49,57,235,C
std-5900,female,A,some college,0,0,100,82,99,61,342,A
std-5901,female,C,some high school,1,0,100,81,55,65,301,B
std-5902,female,C,some high school,1,0,90,88,59,67,304,B
std-5903,female,C,high school,1,1,86,81,73,48,288,B
std-5904,female,D,associate's degree,1,1,88,78,70,50,286,B
std-5905,female,E,bachelor's degree,1,0,88,53,86,83,310,B
std-5906,female,B,master's degree,0,0,64,91,90,46,291,B
std-5907,female,D,some college,1,1,78,59,80,66,283,B
std-5908,female,E,some college,1,1,77,82,76,73,308,B
std-5909,female,A,high school,0,0,39,92,85,66,282,B
std-5910,female,B,some high school,1,1,76,76,100,63,315,B
std-5911,female,C,master's degree,0,1,61,57,88,87,293,B
std-5912,female,A,some high school,0,1,32,58,86,89,265,B
std-5913,female,C,associate's degree,1,1,45,52,100,68,265,B
std-5914,female,D,some college,0,0,78,77,57,69,281,B
std-5915,female,E,some college,1,1,75,47,62,77,261,B
std-5916,female,C,high school,1,0,98,60,98,100,356,A
std-5917,female,E,associate's degree,0,0,97,72,68,79,316,B
std-5918,female,B,high school,0,1,73,98,61,63,295,B
std-5919,female,B,associate's degree,1,0,59,85,69,39,252,B
std-5920,female,A,high school,0,0,83,65,45,87,280,B
std-5921,female,B,some high school,1,0,27,71,100,50,248,C
std-5922,female,D,bachelor's degree,1,0,96,78,84,45,303,B
std-5923,female,E,bachelor's degree,1,0,55,93,77,73,298,B
std-5924,female,D,some college,1,0,66,62,76,61,265,B
std-5925,female,E,some college,1,0,46,86,47,71,250,B
std-5926,female,A,high school,1,0,82,37,58,92,269,B
std-5927,female,D,associate's degree,0,0,60,23,44,85,212,C
std-5928,female,D,associate's degree,0,0,27,89,77,49,242,C
std-5929,female,E,bachelor's degree,1,0,65,67,82,74,288,B
std-5930,female,E,some high school,1,1,79,62,77,77,295,B
std-5931,female,D,high school,1,0,50,76,68,86,280,B
std-5932,female,E,bachelor's degree,1,0,64,92,91,92,339,A
std-5933,female,D,some high school,0,0,92,39,73,62,266,B
std-5934,female,E,high school,1,1,76,56,71,55,258,B
std-5935,female,C,high school,0,0,83,47,62,63,255,B
std-5936,female,A,some college,0,1,47,68,71,51,237,C
std-5937,female,C,some college,1,0,37,65,67,62,231,C
std-5938,female,B,bachelor's degree,1,1,53,52,62,59,226,C
std-5939,female,D,associate's degree,0,0,92,68,100,41,301,B
std-5940,female,C,some college,1,0,63,31,65,79,238,C
std-5941,female,C,associate's degree,1,1,31,79,78,66,254,B
std-5942,female,C,some high school,1,1,80,67,89,76,312,B
std-5943,female,E,some college,0,1,59,82,60,68,269,B
std-5944,female,A,some high school,1,0,67,67,54,59,247,C
std-5945,female,B,high school,0,0,74,61,95,76,306,B
std-5946,female,D,bachelor's degree,0,1,82,70,66,40,258,B
std-5947,female,D,bachelor's degree,0,1,69,89,96,70,324,A
std-5948,female,D,bachelor's degree,0,0,58,62,69,65,254,B
std-5949,female,D,some college,1,0,27,48,52,76,203,C
std-5950,female,D,bachelor's degree,1,1,66,64,61,66,257,B
std-5951,female,B,some college,1,0,92,78,60,63,293,B
std-5952,female,E,high school,1,0,38,100,85,93,316,B
std-5953,female,D,associate's degree,1,0,57,80,99,69,305,B
std-5954,female,C,some high school,1,1,49,61,76,66,252,B
std-5955,female,B,some college,1,1,27,54,54,52,187,D
std-5956,female,C,high school,1,0,56,59,97,96,308,B
std-5957,female,C,some high school,1,1,55,64,85,28,232,C
std-5958,female,D,master's degree,1,0,65,66,66,51,248,C
std-5959,female,B,high school,1,0,27,87,97,59,270,B
std-5960,female,B,bachelor's degree,1,0,57,94,99,46,296,B
std-5961,female,D,some college,1,0,76,100,63,63,302,B
std-5962,female,E,some college,0,0,36,73,83,55,247,C
std-5963,female,E,some high school,0,0,59,65,78,55,257,B
std-5964,female,B,bachelor's degree,1,0,84,72,87,54,297,B
std-5965,female,B,bachelor's degree,1,0,44,25,37,41,147,Fail
std-5966,female,E,some high school,1,1,38,53,62,38,191,D
std-5967,female,B,some college,0,1,67,66,94,57,284,B
std-5968,female,A,some high school,0,0,31,64,43,48,186,D
std-5969,female,C,some high school,0,0,64,59,94,50,267,B
std-5970,female,E,some college,1,1,80,78,83,81,322,A
std-5971,female,B,associate's degree,1,1,57,33,83,61,234,C
std-5972,female,A,associate's degree,1,0,72,68,73,65,278,B
std-5973,female,C,bachelor's degree,1,0,27,86,77,43,233,C
std-5974,female,E,high school,1,1,31,84,46,43,204,C
std-5975,female,A,some high school,1,0,67,66,80,72,285,B
std-5976,female,E,bachelor's degree,1,0,66,70,98,54,288,B
std-5977,female,A,high school,1,1,45,75,86,61,267,B
std-5978,female,E,some high school,1,1,44,82,86,79,291,B
std-5979,female,C,some college,1,0,51,52,100,60,263,B
std-5980,female,E,bachelor's degree,1,0,27,45,89,97,258,B
std-5981,female,B,high school,0,0,63,51,100,76,290,B
std-5982,female,D,some college,0,1,67,89,100,64,320,A
std-5983,female,A,some college,1,0,56,100,84,99,339,A
std-5984,female,B,bachelor's degree,1,0,84,65,97,70,316,B
std-5985,female,A,some college,0,1,27,87,75,78,267,B
std-5986,female,C,associate's degree,1,0,61,99,73,47,280,B
std-5987,female,C,high school,1,1,61,80,83,100,324,A
std-5988,female,D,some high school,1,0,68,63,56,77,264,B
std-5989,female,C,high school,1,1,50,68,67,44,229,C
std-5990,female,E,associate's degree,0,0,53,100,82,73,308,B
std-5991,female,D,associate's degree,1,0,85,67,85,73,310,B
std-5992,female,E,associate's degree,1,0,83,53,68,72,276,B
std-5993,female,B,high school,0,0,79,99,94,82,354,A
std-5994,female,C,some college,1,1,42,75,76,57,250,B
std-5995,female,C,some college,1,0,78,65,97,70,310,B
std-5996,female,C,bachelor's degree,1,0,60,95,85,82,322,A
std-5997,female,D,associate's degree,0,0,58,67,58,31,214,C
std-5998,female,E,some college,1,0,64,67,77,62,270,B
std-5999,female,D,some high school,1,0,53,63,70,68,254,B
std-6000,female,C,associate's degree,0,0,71,83,59,55,268,B
std-6001,female,C,master's degree,1,0,67,57,87,60,271,B
std-6002,female,C,associate's degree,0,0,40,65,73,78,256,B
std-6003,female,B,bachelor's degree,1,1,67,100,73,59,299,B
std-6004,female,B,bachelor's degree,1,1,83,68,81,76,308,B
std-6005,female,C,some high school,1,0,85,63,82,99,329,A
std-6006,female,A,bachelor's degree,1,0,67,23,91,100,281,B
std-6007,female,C,high school,1,0,85,60,74,72,291,B
std-6008,female,B,high school,0,1,87,86,68,49,290,B
std-6009,female,D,some high school,0,0,64,51,82,72,269,B
std-6010,female,E,high school,1,1,56,99,92,83,330,A
std-6011,female,D,some high school,1,0,83,50,82,77,292,B
std-6012,female,B,some college,1,0,35,61,96,61,253,B
std-6013,female,C,high school,0,1,98,44,58,82,282,B
std-6014,female,C,high school,0,0,74,57,97,55,283,B
std-6015,female,A,some college,0,0,76,100,94,70,340,A
std-6016,female,D,some high school,1,0,66,92,67,92,317,B
std-6017,female,C,some college,1,0,71,86,57,60,274,B
std-6018,female,D,bachelor's degree,1,0,100,62,84,63,309,B
std-6019,female,B,some high school,1,0,72,78,56,98,304,B
std-6020,female,C,some high school,1,0,68,49,100,65,282,B
std-6021,female,B,high school,1,0,29,79,80,66,254,B
std-6022,female,C,high school,1,1,58,31,81,58,228,C
std-6023,female,B,master's degree,1,1,86,58,38,36,218,C
std-6024,female,C,some high school,0,0,84,64,90,66,304,B
std-6025,female,C,some college,1,1,27,66,85,74,252,B
std-6026,female,D,associate's degree,0,0,70,67,88,79,304,B
std-6027,female,C,some high school,1,0,92,55,46,53,246,C
std-6028,female,A,associate's degree,1,0,38,60,75,52,225,C
std-6029,female,C,high school,1,1,68,90,59,77,294,B
std-6030,female,D,associate's degree,1,0,34,94,76,56,260,B
std-6031,female,A,high school,0,0,67,80,88,28,263,B
std-6032,female,B,some college,1,0,55,40,96,94,285,B
std-6033,female,D,high school,0,0,59,51,77,61,248,C
std-6034,female,D,associate's degree,1,0,64,32,43,67,206,C
std-6035,female,E,associate's degree,0,1,67,64,84,33,248,C
std-6036,female,A,some high school,1,1,47,41,97,44,229,C
std-6037,female,C,bachelor's degree,0,0,68,32,56,89,245,C
std-6038,female,D,high school,1,1,52,98,90,81,321,A
std-6039,female,B,some college,1,0,33,48,84,76,241,C
std-6040,female,B,high school,1,1,94,69,66,57,286,B
std-6041,female,D,some college,1,0,95,41,61,33,230,C
std-6042,female,D,high school,1,1,85,37,100,74,296,B
std-6043,female,E,some college,1,1,73,60,74,68,275,B
std-6044,female,A,high school,0,0,91,91,83,93,358,A
std-6045,female,D,some high school,1,0,87,84,73,69,313,B
std-6046,female,B,some high school,0,0,68,34,70,45,217,C
std-6047,female,C,some high school,1,0,49,89,77,93,308,B
std-6048,female,C,associate's degree,1,0,99,57,90,90,336,A
std-6049,female,C,high school,1,0,60,74,73,54,261,B
std-6050,female,E,some high school,0,1,52,60,86,60,258,B
std-6051,female,C,some college,1,0,61,69,57,69,256,B
std-6052,female,D,associate's degree,0,0,86,74,67,73,300,B
std-6053,female,B,high school,0,1,76,38,56,100,270,B
std-6054,female,C,bachelor's degree,1,1,73,42,81,60,256,B
std-6055,female,C,some college,0,1,60,64,100,91,315,B
std-6056,female,C,high school,1,0,40,78,61,48,227,C
std-6057,female,C,associate's degree,1,0,90,82,59,72,303,B
std-6058,female,E,some high school,0,1,84,79,84,67,314,B
std-6059,female,E,associate's degree,0,1,47,81,100,50,278,B
std-6060,female,D,some high school,1,1,85,72,96,38,291,B
std-6061,female,E,bachelor's degree,0,0,99,69,66,46,280,B
std-6062,female,B,some college,1,1,27,73,81,89,270,B
std-6063,female,D,master's degree,1,1,60,81,100,83,324,A
std-6064,female,A,some college,0,1,85,100,58,53,296,B
std-6065,female,C,associate's degree,0,1,91,81,89,93,354,A
std-6066,female,C,associate's degree,1,1,27,56,56,74,213,C
std-6067,female,C,bachelor's degree,1,0,41,56,57,33,187,D
std-6068,female,E,some college,1,0,82,37,77,87,283,B
std-6069,female,C,some college,1,1,78,45,79,68,270,B
std-6070,female,E,associate's degree,1,0,61,71,82,95,309,B
std-6071,female,E,some college,0,0,68,96,65,62,291,B
std-6072,female,B,high school,1,0,62,57,56,88,263,B
std-6073,female,A,some college,1,1,84,81,77,92,334,A
std-6074,female,B,master's degree,1,1,52,81,96,65,294,B
std-6075,female,E,some high school,1,0,74,63,68,75,280,B
std-6076,female,D,high school,0,1,65,85,76,54,280,B
std-6077,female,B,some high school,0,0,63,72,100,74,309,B
std-6078,female,C,some high school,0,0,94,73,69,80,316,B
std-6079,female,C,some college,0,1,71,51,96,74,292,B
std-6080,female,B,bachelor's degree,1,1,55,100,59,61,275,B
std-6081,female,D,high school,1,0,72,48,100,68,288,B
std-6082,female,D,associate's degree,1,1,47,81,100,52,280,B
std-6083,female,D,associate's degree,0,1,36,54,81,68,239,C
std-6084,female,C,high school,1,1,73,87,83,74,317,B
std-6085,female,E,some high school,0,0,48,71,95,70,284,B
std-6086,female,E,some college,1,0,57,38,91,64,250,B
std-6087,female,D,associate's degree,1,1,69,58,79,93,299,B
std-6088,female,D,associate's degree,1,1,65,72,86,33,256,B
std-6089,female,E,some high school,1,0,49,88,60,93,290,B
std-6090,female,C,some high school,1,1,53,77,78,64,272,B
std-6091,female,C,some college,1,0,75,85,77,83,320,A
std-6092,female,C,associate's degree,1,0,68,52,77,45,242,C
std-6093,female,D,some college,0,1,61,60,66,61,248,C
std-6094,female,D,high school,0,1,91,80,100,45,316,B
std-6095,female,A,associate's degree,1,0,41,49,67,86,243,C
std-6096,female,D,high school,1,0,90,44,53,54,241,C
std-6097,female,D,associate's degree,0,0,30,48,71,70,219,C
std-6098,female,C,bachelor's degree,0,0,63,73,77,83,296,B
std-6099,female,D,associate's degree,0,0,55,83,96,94,328,A
std-6100,female,D,some college,0,1,77,74,61,50,262,B
std-6101,female,D,some high school,0,0,67,29,100,81,277,B
std-6102,female,C,high school,0,0,54,56,52,73,235,C
std-6103,female,B,bachelor's degree,1,1,100,100,94,71,365,A
std-6104,female,A,associate's degree,1,0,67,83,74,79,303,B
std-6105,female,D,master's degree,1,0,53,64,97,41,255,B
std-6106,female,D,some college,1,1,30,55,74,84,243,C
std-6107,female,A,some high school,1,1,59,55,83,55,252,B
